camera_id,timestamp,tcapture_ms,tprocessing_ms,thsv_classification_ms,tkalman_ms,tdb_write_ms,tsync_ms,troute_ms,Tresponse_ms,pixel_detection_accuracy,classification_accuracy,processed_image_path
demo_camera,20260905T065338069347Z,120.1,55.2,33.0,5.0,22.5,0.0,0.0,200.0,0.9876,0.9123,D:\KINGKING DOWNLOADS\Thesis\s\flood-monitoring-fd7723de6b3f2667b7b66860bd433e575bd7ce96\flood-monitoring-fd7723de6b3f2667b7b66860bd433e575bd7ce96\paper_results\images\demo_camera_20260905T065338069347Z.png
6a9ba725e7711ec3a68b06d8,20260905T065417873911Z,273.617,17.574,10.544,1.757,108.499,0.0,0.0,399.772,1.0,0.782,D:\KINGKING DOWNLOADS\Thesis\s\flood-monitoring-fd7723de6b3f2667b7b66860bd433e575bd7ce96\flood-monitoring-fd7723de6b3f2667b7b66860bd433e575bd7ce96\paper_results\images\6a9ba725e7711ec3a68b06d8_20260905T065417873911Z.png
